town,max_selling_price,financial_year,_id,max_selling_price_less_ahg_shg,room_type,min_selling_price,min_selling_price_less_ahg_shg
Punggol,107000,2008,1,0,2-room,82000,0
Punggol,211000,2008,2,0,3-room,135000,0
Punggol,327000,2008,3,0,4-room,223000,0
Punggol,428000,2008,4,0,5-room,305000,0
Jurong West,160000,2008,5,0,3-room,142000,0
Jurong West,253000,2008,6,0,4-room,211000,0
Jurong West,319000,2008,7,0,5-room,229000,0
Bukit Panjang,106000,2008,8,0,2-room,82000,0
Bukit Panjang,170000,2008,9,0,3-room,138000,0
Bukit Panjang,270000,2008,10,0,4-room,211000,0
Woodlands,164000,2008,11,0,3-room,116000,0
Woodlands,257000,2008,12,0,4-room,184000,0
Woodlands,296000,2008,13,0,5-room,247000,0
Sengkang,95000,2008,14,0,2-room,73000,0
Sengkang,162000,2008,15,0,3-room,120000,0
Sengkang,275000,2008,16,0,4-room,190000,0
Sengkang,367000,2008,17,0,5-room,290000,0
Punggol,114000,2009,18,0,2-room,89000,0
Punggol,188000,2009,19,0,3-room,151000,0
Punggol,322000,2009,20,0,4-room,234000,0
Punggol,409000,2009,21,0,5-room,332000,0
Jurong West,103000,2009,22,0,2-room,86000,0
Jurong West,173000,2009,23,0,3-room,138000,0
Jurong West,266000,2009,24,0,4-room,223000,0
Choa Chu Kang,104000,2009,25,0,2-room,83000,0
Choa Chu Kang,172000,2009,26,0,3-room,128000,0
Choa Chu Kang,275000,2009,27,0,4-room,212000,0
Bukit Panjang,94000,2009,28,0,2-room,72000,0
Bukit Panjang,157000,2009,29,0,3-room,125000,0
Bukit Panjang,250000,2009,30,0,4-room,210000,0
Woodlands,175000,2009,31,0,3-room,141000,0
Woodlands,288000,2009,32,0,4-room,228000,0
Sengkang,98000,2009,33,0,2-room,74000,0
Sengkang,171000,2009,34,0,3-room,116000,0
Sengkang,271000,2009,35,0,4-room,203000,0
Sengkang,352000,2009,36,0,5-room,281000,0
Punggol,237000,2010,37,207000,3-room,150000,120000
Punggol,376000,2010,38,366000,4-room,243000,233000
Punggol,458000,2010,39,458001,5-room,330000,330000
Jurong West,199000,2010,40,169000,3-room,168000,138000
Jurong West,325000,2010,41,315000,4-room,239000,229000
Jurong West,391000,2010,42,391000,5-room,298000,298000
Bukit Panjang,119000,2010,43,79000,2-room,83000,23000
Bukit Panjang,191000,2010,44,161000,3-room,143000,113000
Bukit Panjang,312000,2010,45,302000,4-room,226000,216000
Bukit Panjang,398000,2010,46,398000,5-room,298000,298000
Woodlands,105000,2010,47,65000,2-room,78000,38000
Woodlands,168000,2010,48,138000,3-room,136000,106000
Woodlands,280000,2010,49,270000,4-room,224000,214000
Woodlands,328000,2010,50,328000,5-room,270000,270000
Sengkang,120000,2010,51,60000,2-room,68000,28000
Sengkang,232000,2010,52,202000,3-room,122000,92000
Sengkang,359000,2010,53,349000,4-room,201000,191000
Sengkang,444000,2010,54,444000,5-room,279000,279000
Punggol,111000,2011,55,51000,2-room,85000,25000
Punggol,242000,2011,56,212000,3-room,150000,120000
Punggol,390000,2011,57,380000,4-room,257000,247000
Punggol,484000,2011,58,484000,5-room,335000,335000
Choa Chu Kang,172000,2011,59,142000,3-room,146000,116000
Choa Chu Kang,284000,2011,60,274000,4-room,229000,219000
Choa Chu Kang,364000,2011,61,364000,5-room,295000,295000
Bukit Panjang,189000,2011,62,159000,3-room,137000,107000
Bukit Panjang,298000,2011,63,288000,4-room,217000,207000
Bukit Panjang,386000,2011,64,386000,5-room,274000,274000
Sembawang,116000,2011,65,56000,2-room,92000,32000
Sembawang,191000,2011,66,161000,3-room,158000,128000
Sembawang,310000,2011,67,300000,4-room,255000,245000
Sengkang,112000,2011,68,52000,2-room,83000,23000
Sengkang,220000,2011,69,190000,3-room,134000,104000
Sengkang,370000,2011,70,360000,4-room,225000,215000
Sengkang,456000,2011,71,456000,5-room,283000,283000
Yishun,193000,2011,72,163000,3-room,156000,126000
Yishun,296000,2011,73,286000,4-room,234000,224000
Yishun,381000,2011,74,381000,5-room,277000,277000
Punggol,130000,2012,75,70000,2-room,104000,44000
Punggol,247000,2012,76,217000,3-room,163000,133000
Punggol,379000,2012,77,369000,4-room,260000,250000
Punggol,485000,2012,78,485000,5-room,326000,326000
Choa Chu Kang,121000,2012,79,61000,2-room,99000,39000
Choa Chu Kang,182000,2012,80,152000,3-room,138000,108000
Choa Chu Kang,309000,2012,81,299000,4-room,223000,213000
Choa Chu Kang,385000,2012,82,385000,5-room,284000,284000
Woodlands,312000,2012,83,302000,4-room,248000,238000
Woodlands,381000,2012,84,381000,5-room,308000,308000
Sengkang,264000,2012,85,243000,3-room,151000,121000
Sengkang,403000,2012,86,393000,4-room,251000,241000
Sengkang,499000,2012,87,499000,5-room,304000,304000
Yishun,197000,2012,88,167000,3-room,170000,140000
