address,latitude,longitude,postal_code,building,road_name
216 ANG MO KIO AVE 1,1.36619678831054,103.841505011903,560216,ANG MO KIO 22,ANG MO KIO AVENUE 1
211 ANG MO KIO AVE 3,1.369196965617,103.841666636086,560211,NIL,ANG MO KIO AVENUE 3
202 ANG MO KIO AVE 3,1.36845752328237,103.844515336938,560202,OCBC ANG MO KIO AVE 3,ANG MO KIO AVENUE 3
235 ANG MO KIO AVE 3,1.36682360872342,103.83649123351,560235,KEBUN BARU PALM VIEW,ANG MO KIO AVENUE 3
232 ANG MO KIO AVE 3,1.36834606813391,103.837196046409,560232,KEBUN BARU PALM VIEW,ANG MO KIO AVENUE 3
308 ANG MO KIO AVE 1,1.36569665029696,103.844347269095,563308,TECK GHEE VISTA,ANG MO KIO AVENUE 1
220 ANG MO KIO AVE 1,1.36558833593063,103.840518883254,560220,ANG MO KIO GROVE,ANG MO KIO AVENUE 1
219 ANG MO KIO AVE 1,1.36598198004505,103.840654039612,560219,ANG MO KIO GROVE,ANG MO KIO AVENUE 1
320 ANG MO KIO AVE 1,1.36559244608528,103.848386744168,560320,STAR LEARNERS @ ANG MO KIO PTE. LTD.,ANG MO KIO AVENUE 1
223 ANG MO KIO AVE 1,1.36604808445916,103.838122716883,560223,NIL,ANG MO KIO AVENUE 1
230 ANG MO KIO AVE 3,1.36875041500147,103.837993360863,560230,THE ANG MO KIO FAMILY SERVICE CENTRE (ANG MO KIO),ANG MO KIO AVENUE 3
329 ANG MO KIO AVE 3,1.36659908629034,103.846874419073,560329,ANG MO KIO 31,ANG MO KIO AVENUE 3
313 ANG MO KIO AVE 3,1.36664972640598,103.850133665442,560313,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3
117 ANG MO KIO AVE 4,1.3737170825368,103.835610469339,560117,KEBUN BARU HEIGHTS,ANG MO KIO AVENUE 4
110 ANG MO KIO AVE 4,1.37045937010888,103.837419259859,560110,KEBUN BARU HEIGHTS,ANG MO KIO AVENUE 4
343 ANG MO KIO AVE 3,1.36837474759489,103.849151113749,560343,MY FIRST SKOOL,ANG MO KIO AVENUE 3
345 ANG MO KIO AVE 3,1.36748702509964,103.849651723914,560345,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3
346 ANG MO KIO AVE 3,1.36709586875167,103.84966230288,560346,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3
121 ANG MO KIO AVE 3,1.36970563478325,103.843515981311,560121,NIL,ANG MO KIO AVENUE 3
129 ANG MO KIO AVE 3,1.36989498895756,103.842059049722,560129,YIO CHU KANG VILLE,ANG MO KIO AVENUE 3
130 ANG MO KIO AVE 3,1.37039791675237,103.841878840032,560130,YIO CHU KANG VILLE,ANG MO KIO AVENUE 3
128 ANG MO KIO AVE 3,1.37083202800001,103.843546990613,560128,NIL,ANG MO KIO AVENUE 3
127 ANG MO KIO AVE 3,1.37122322102767,103.843593321222,560127,NIL,ANG MO KIO AVENUE 3
126 ANG MO KIO AVE 3,1.37164990020956,103.843644176374,560126,NIL,ANG MO KIO AVENUE 3
403 ANG MO KIO AVE 10,1.36126901451361,103.854642365822,560403,NIL,ANG MO KIO AVENUE 10
404 ANG MO KIO AVE 10,1.36167767060852,103.854726492538,560404,NIL,ANG MO KIO AVENUE 10
405 ANG MO KIO AVE 10,1.36157912717139,103.853805386957,560405,NIL,ANG MO KIO AVENUE 10
417 ANG MO KIO AVE 10,1.36495953274783,103.855197097728,560417,TECK GHEE HEARTLANDS,ANG MO KIO AVENUE 10
418 ANG MO KIO AVE 10,1.3649460137791,103.854043379775,560418,TECK GHEE HEARTLANDS,ANG MO KIO AVENUE 10
419 ANG MO KIO AVE 10,1.36534669720177,103.85415182597,560419,TECK GHEE HEARTLANDS,ANG MO KIO AVENUE 10
441 ANG MO KIO AVE 10,1.36605027829032,103.854168309853,560441,NIL,ANG MO KIO AVENUE 10
442 ANG MO KIO AVE 10,1.36565326940253,103.855232195496,560442,NIL,ANG MO KIO AVENUE 10
443 ANG MO KIO AVE 10,1.36604388871674,103.855368968681,560443,NIL,ANG MO KIO AVENUE 10
444 ANG MO KIO AVE 10,1.36660045321147,103.855578790668,560444,NIL,ANG MO KIO AVENUE 10
450 ANG MO KIO AVE 10,1.36848406233048,103.855468149019,560450,CHONG BOON CENTRE,ANG MO KIO AVENUE 10
435 ANG MO KIO AVE 10,1.36770367834269,103.854214313011,560435,CHONG BOON RISE,ANG MO KIO AVENUE 10
433 ANG MO KIO AVE 10,1.36807652285135,103.854353042615,560433,CHONG BOON RISE,ANG MO KIO AVENUE 10
434 ANG MO KIO AVE 10,1.3678915069194,103.85345502653,560434,CHONG BOON RISE,ANG MO KIO AVENUE 10
424 ANG MO KIO AVE 3,1.36860660305158,103.850808805402,560424,CHONG BOON VIEW,ANG MO KIO AVENUE 3
425 ANG MO KIO AVE 3,1.36915358068729,103.851746834886,560425,THONG CHAI MEDICAL INSTITUTION - ANG MO KIO,ANG MO KIO AVENUE 3
466 ANG MO KIO AVE 10,1.36581960620891,103.857061597256,560466,TECK GHEE HORIZON,ANG MO KIO AVENUE 10
471 ANG MO KIO AVE 10,1.36346600647245,103.856702918462,560471,TECK GHEE HORIZON,ANG MO KIO AVENUE 10
474 ANG MO KIO AVE 10,1.36275784702216,103.858015323667,560474,TECK GHEE HORIZON,ANG MO KIO AVENUE 10
570 ANG MO KIO AVE 3,1.3697435855576,103.856023138277,560570,CHENG SAN COURT,ANG MO KIO AVENUE 3
586 ANG MO KIO AVE 3,1.37030352965928,103.853455898206,560586,CHENG SAN COURT,ANG MO KIO AVENUE 3
465 ANG MO KIO AVE 10,1.3662010408294,103.857200967235,560465,TECK GHEE HORIZON,ANG MO KIO AVENUE 10
463 ANG MO KIO AVE 10,1.36711621129028,103.85713855795,NIL,NIL,ANG MO KIO AVENUE 10
564 ANG MO KIO AVE 3,1.36984837555524,103.859404131956,560564,NIL,ANG MO KIO AVENUE 3
560 ANG MO KIO AVE 10,1.37081626777721,103.859192334256,560560,NIL,ANG MO KIO AVENUE 10
558 ANG MO KIO AVE 10,1.37123613284274,103.859192016193,560558,NIL,ANG MO KIO AVENUE 10
