year_completed,multigen_sold,bldg_contract_town,multistorey_carpark,street,total_dwelling_units,blk_no,exec_sold,max_floor_lvl,residential,1room_sold,precinct_pavilion,other_room_rental,5room_sold,3room_sold,commercial,4room_sold,miscellaneous,studio_apartment_sold,2room_rental,2room_sold,1room_rental,3room_rental,market_hawker,_id
1970,0,KWN,N,BEACH RD,142,1,0,16,Y,0,N,0,2,138,Y,1,N,0,0,1,0,0,N,1
1975,0,BD,N,BEDOK STH AVE 1,206,1,0,14,Y,0,N,0,2,204,N,0,Y,0,0,0,0,0,N,2
2010,0,CT,N,CANTONMENT RD,0,1,0,2,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,3
1982,0,BD,N,CHAI CHEE RD,102,1,0,15,Y,0,N,0,92,0,N,10,N,0,0,0,0,0,N,4
1975,0,PRC,N,CHANGI VILLAGE RD,55,1,0,4,Y,0,N,0,1,54,Y,0,N,0,0,0,0,0,N,5
1982,0,BM,N,DELTA AVE,96,1,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,6
1975,0,QT,N,DOVER RD,125,1,0,12,Y,0,N,0,7,118,N,0,Y,0,0,0,0,0,N,7
1977,0,GL,N,EUNOS CRES,247,1,0,14,Y,0,N,0,0,0,N,0,Y,0,247,0,0,0,N,8
1980,0,BM,N,EVERTON PK,95,1,0,12,Y,0,N,0,33,62,Y,0,N,0,0,0,0,0,N,9
2009,0,GL,N,GEYLANG SERAI,0,1,0,2,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,10
1975,0,QT,N,GHIM MOH RD,220,1,0,15,Y,0,N,0,4,216,N,0,Y,0,0,0,0,0,N,11
1976,0,GL,N,HAIG RD,219,1,0,15,Y,0,N,0,5,214,N,0,Y,0,0,0,0,0,N,12
1973,0,QT,N,HOLLAND CL,319,1,0,13,Y,0,N,0,0,0,N,0,Y,0,0,0,319,0,N,13
1974,0,HG,N,HOUGANG AVE 3,204,1,0,14,Y,0,N,0,4,200,N,0,Y,0,0,0,0,0,N,14
1969,0,CT,N,JLN KUKOH,84,1,0,17,Y,0,N,14,0,0,N,0,Y,0,56,0,0,14,Y,15
1974,0,BM,N,JLN BT MERAH,244,1,0,14,Y,0,N,0,0,243,Y,0,N,0,0,0,0,1,N,16
1984,0,GL,N,JOO CHIAT RD,0,1,0,5,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,17
1963,0,KWN,N,KG KAYU RD,107,1,0,10,Y,0,N,0,0,106,N,1,N,0,0,0,0,0,N,18
1968,0,TP,N,LOR 7 TOA PAYOH,196,1,0,11,Y,0,N,0,2,194,N,0,N,0,0,0,0,0,N,19
1977,0,SGN,N,LOR LEW LIAN,179,1,0,14,Y,0,N,0,3,174,N,0,Y,0,0,0,0,2,N,20
1974,0,MP,N,MARINE TER,96,1,0,25,Y,0,N,0,96,0,Y,0,N,0,0,0,0,0,N,21
1973,0,WL,N,MARSILING DR,159,1,0,11,Y,0,N,0,1,158,N,0,Y,0,0,0,0,0,N,22
1970,0,KWN,N,MAUDE RD,176,1,0,14,Y,0,N,0,0,0,Y,0,Y,0,176,0,0,0,N,23
1998,0,GL,N,PINE CL,156,1,0,19,Y,0,N,0,56,0,N,100,N,0,0,0,0,0,N,24
1974,0,BT,N,QUEEN'S RD,88,1,0,23,Y,0,N,0,88,0,N,0,N,0,0,0,0,0,N,25
1975,0,KWN,N,ST. GEORGE'S RD,154,1,0,12,Y,0,N,0,0,0,N,154,Y,0,0,0,0,0,N,26
2016,0,TAP,N,TAMPINES WALK,0,1,0,7,N,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,27
1983,0,CCK,N,TECK WHYE AVE,118,1,2,13,Y,0,N,0,0,68,N,48,N,0,0,0,0,0,N,28
1973,0,BM,N,TELOK BLANGAH CRES,148,1,0,16,Y,0,N,0,2,146,Y,0,N,0,0,0,0,0,N,29
1976,0,CT,N,TG PAGAR PLAZA,163,1,0,24,Y,0,N,0,5,158,Y,0,Y,0,0,0,0,0,N,30
1977,0,KWN,N,THOMSON RD,8,1,0,4,Y,0,N,0,0,0,Y,0,N,0,0,0,0,8,N,31
1987,0,BT,N,TOH YI DR,132,1,0,13,Y,0,N,0,60,0,N,72,Y,0,0,0,0,0,N,32
2003,0,TP,N,UPP ALJUNIED LANE,0,1,0,1,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,Y,33
1994,0,WL,N,WOODLANDS IND PK E3,0,1,0,2,N,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,34
2010,0,QT,N,C'WEALTH DR,0,1A,0,1,N,0,N,0,0,0,N,0,N,0,0,0,0,0,Y,35
2009,0,CT,N,CANTONMENT RD,264,1A,0,50,Y,0,N,0,88,0,N,176,Y,0,0,0,0,0,N,36
1981,0,GL,N,EUNOS CRES,2,1A,0,2,Y,0,N,0,0,0,Y,0,N,0,0,0,0,2,N,37
2000,0,BM,N,EVERTON PK,0,1A,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,38
2005,0,BM,N,TELOK BLANGAH CRES,0,1A,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,39
2015,0,PRC,Y,TELOK PAKU RD,0,1A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,40
1980,0,KWN,N,THOMSON RD,0,1A,0,1,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,41
1988,0,BT,Y,TOH YI DR,0,1A,0,4,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,42
2009,0,CT,N,CANTONMENT RD,264,1B,0,50,Y,0,N,0,88,0,N,176,N,0,0,0,0,0,N,43
2009,0,CT,N,CANTONMENT RD,264,1C,0,50,Y,0,N,0,88,0,N,176,N,0,0,0,0,0,N,44
2009,0,CT,N,CANTONMENT RD,264,1D,0,50,Y,0,N,0,88,0,N,176,Y,0,0,0,0,0,N,45
2009,0,CT,N,CANTONMENT RD,264,1E,0,50,Y,0,N,0,88,0,N,176,Y,0,0,0,0,0,N,46
2009,0,CT,N,CANTONMENT RD,264,1F,0,50,Y,0,N,0,88,0,N,176,Y,0,0,0,0,0,N,47
