fax_no,gifted_ind,mothertongue3_code,fifth_vp_name,postal_code,type_code,second_vp_name,first_vp_name,mainlevel_code,email_address,sap_ind,telephone_no_2,mrt_desc,bus_desc,third_vp_name,telephone_no,ip_ind,principal_name,mothertongue1_code,nature_code,fourth_vp_name,autonomous_ind,session_code,school_name,dgp_code,address,sixth_vp_name,mothertongue2_code,fax_no_2,zone_code,_id,url_address
63627512,No,Tamil,NULL,738907,GOVERNMENT SCHOOL,MDM NUR SABARIAH BTE MOHD IBRAHIM,MDM CHUA MUI LING,PRIMARY,ADMIRALTY_PS@MOE.EDU.SG,No,na,Admiralty Station,"TIBS 965, 964, 913",NULL,63620598,No,MR PEK WEE HAUR,Chinese,CO-ED SCHOOL,NULL,No,FULL DAY,ADMIRALTY PRIMARY SCHOOL,WOODLANDS,11   WOODLANDS CIRCLE,NULL,Malay,na,NORTH,1,https://admiraltypri.moe.edu.sg/
63652774,No,Tamil,NULL,737916,GOVERNMENT SCHOOL,MR SHEIK ALAUDIN B MOHD ISMAIL,MR NG SONG LIM STEVEN,SECONDARY,Admiralty_SS@moe.edu.sg,No,63654596,ADMIRALTY MRT,904,NULL,63651733,No,MR LAM YUI- P'NG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ADMIRALTY SECONDARY SCHOOL,WOODLANDS,31   WOODLANDS CRESCENT,NULL,Malay,na,NORTH,2,http://www.admiraltysec.moe.edu.sg
67592927,No,Tamil,NULL,768643,GOVERNMENT SCHOOL,NULL,MADAM SULASNI BINTE ABDUL RAHMAN,PRIMARY,aips@moe.edu.sg,No,na,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",NULL,67592906,No,MISS ONG LEE CHOO,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,AHMAD IBRAHIM PRIMARY SCHOOL,YISHUN,10   YISHUN STREET 11,NULL,Malay,na,NORTH,3,http://www.ahmadibrahimpri.moe.edu.sg
67557778,No,Tamil,NULL,768928,GOVERNMENT SCHOOL,MISS LEA SHU HUI,MR YAO ZHIXUAN TERENCE,SECONDARY,aiss@moe.edu.sg,No,na,"CANBERRA MRT, YISHUN MRT","117, 167, 169, 800, 811, 812, 883, 856, 858, 859, 965, 969, 980",NULL,67585384,No,MISS TAN KE XIN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,AHMAD IBRAHIM SECONDARY SCHOOL,YISHUN,751  YISHUN AVENUE 7,NULL,Malay,na,NORTH,4,http://www.ahmadibrahimsec.moe.edu.sg
64532726,No,na,NULL,579646,GOVERNMENT-AIDED SCH,MR YAK BENG WEI,"MDM NG BEE ENG, CINDY",PRIMARY,AITONG_SCH@MOE.EDU.SG,Yes,na,Bishan MRT,"410, 162, 52",NULL,64547672,No,MDM GOH LING LING DIANE,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,AI TONG SCHOOL,BISHAN,100  Bright Hill Drive,NULL,na,na,SOUTH,5,http://www.aitong.moe.edu.sg
62485409,No,Tamil,NULL,159016,GOVERNMENT SCHOOL,NULL,MDM NORAINI BTE MANSOOR,PRIMARY,alexandra_ps@moe.edu.sg,No,na,Redhill Station  Tiong Bahru Station,"51, 122, 139, 186, 970.",NULL,62485400,No,MDM TEO CHING LING,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ALEXANDRA PRIMARY SCHOOL,BUKIT MERAH,2A   Prince Charles Crescent,NULL,Malay,na,SOUTH,6,http://alexandrapri.moe.edu.sg
63159825,No,Tamil,NULL,544969,GOVERNMENT SCHOOL,MDM NEO LAY PIN,MDM VASUNDHARA  REDDY,PRIMARY,anchorgreen_ps@moe.edu.sg,No,na,MRT : NE16-Sengkang LRT : SW7-TongKang,"Bus 372, 110, 50",NULL,68861356,No,MDM NORLIZA BTE A RAHIM,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ANCHOR GREEN PRIMARY SCHOOL,SENG KANG,31   Anchorvale Drive,NULL,Malay,na,NORTH,7,http://www.anchorgreenpri.moe.edu.sg
65522310,No,Tamil,NULL,569785,GOVERNMENT SCHOOL,NULL,"MDM NGOH YING LI, JANE",PRIMARY,anderson_ps@moe.edu.sg,No,na,Yio Chu Kang MRT Station,"Ang Mo Kio Ave 9 - Bus 76, 265, 268",NULL,64560340,No,MDM DELIA HOO,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ANDERSON PRIMARY SCHOOL,ANG MO KIO,19   ANG MO KIO AVE 9,NULL,Malay,na,NORTH,8,http://www.andersonpri.moe.edu.sg
64586104,No,Tamil,NULL,569206,GOVERNMENT SCHOOL,MR JONAH LIM TUCK HWAY,MDM LOW CHIA YEE,SECONDARY,anderson_ss@moe.edu.sg,No,na,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 548, 45, 50, 72",NULL,64598303,No,MDM THONG MAY TENG,Chinese,CO-ED SCHOOL,NULL,Yes,SINGLE SESSION,ANDERSON SECONDARY SCHOOL,ANG MO KIO,10   ANG MO KIO STREET 53,NULL,Malay,na,NORTH,9,http://www.andersonsec.moe.edu.sg
64598734,No,Tamil,NULL,569843,GOVERNMENT SCHOOL,MR CHAN ZHENG MING,MDM LOW BEE YEN,JUNIOR COLLEGE,asrjc@moe.edu.sg,No,na,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853, 860",NULL,64596822,No,MR MANOGARAN S/O SUPPIAH,Chinese,CO-ED SCHOOL,NULL,No,FULL DAY,ANDERSON SERANGOON JUNIOR COLLEGE,ANG MO KIO,4500 ANG MO KIO AVENUE 6,NULL,Malay,na,NORTH,10,www.asrjc.moe.edu.sg
