ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus,RoadName,Description,Latitude,Longitude
10,SBST,1,1,75009,0.0,0500,2300,0500,2300,0500,2300,Tampines Ctrl 1,Tampines Int,1.35407552367477,103.94339098473914
10,SBST,1,2,76059,0.6,0502,2302,0502,2302,0502,2302,Tampines Ave 5,Opp Our Tampines Hub,1.35296163572491,103.94165154852796
10,SBST,1,3,76069,1.1,0504,2304,0504,2304,0503,2304,Tampines Ave 5,Blk 147,1.34875342114003,103.94208629087404
10,SBST,1,4,96289,2.3,0508,2308,0508,2309,0507,2308,Simei Ave,Changi General Hosp,1.34005496226354,103.94838106593956
10,SBST,1,5,96109,2.7,0509,2310,0509,2311,0508,2309,Simei Ave,Opp Blk 3012,1.33737118239889,103.95067333143491
10,SBST,1,6,85079,3.3,0511,2312,0511,2313,0510,2311,Upp Changi Rd,Flextronic,1.33394889968504,103.9501523198666
10,SBST,1,7,85089,3.5,0512,2313,0512,2314,0511,2312,Upp Changi Rd,Aft Sungei Bedok,1.33338002405472,103.94880327361744
10,SBST,1,8,85069,3.8,0513,2314,0513,2315,0512,2313,Bedok Rd,Bedok Mkt Pl,1.3318,103.94738
10,SBST,1,9,85059,4.1,0514,2315,0514,2316,0513,2314,Bedok Rd,Bef Jln Chempaka Kuning,1.32950222197902,103.94906611097686
10,SBST,1,10,85049,4.5,0515,2316,0515,2317,0514,2315,Bedok Rd,Opp Man Fatt Lam Tp,1.32671998700111,103.95124872703616
10,SBST,1,11,85039,4.8,0517,2317,0517,2319,0516,2317,Bedok Rd,Opp Excelsior Gdns,1.32442497435966,103.9529859426158
10,SBST,1,12,85029,5.0,0517,2318,0517,2319,0516,2317,Bedok Rd,Aft Bedok Meth Ch,1.32261805599904,103.95429972202514
10,SBST,1,13,85019,5.2,0518,2318,0518,2320,0517,2318,Bedok Rd,Eastwood Ctr,1.321288333018,103.95534472201146
10,SBST,1,14,94079,5.5,0519,2319,0519,2321,0518,2319,Upp East Coast Rd,Bedok Camp 2,1.31962000617397,103.95524325955397
10,SBST,1,15,94069,6.1,0520,2320,0520,2322,0519,2321,Upp East Coast Rd,Opp Kew Green Condo,1.31809668590525,103.95085659912792
10,SBST,1,16,94059,6.4,0521,2321,0521,2323,0520,2322,Upp East Coast Rd,Temasek Sec Sch,1.31707137658578,103.9479809249404
10,SBST,1,17,94049,6.8,0522,2322,0522,2324,0521,2323,Upp East Coast Rd,Aft Bedok Sth Ave 3,1.31616443335073,103.94482108127718
