license_numbers,premise_address,_id,name_of_license,business_name,latitude,longitude,postal_code
SSE20041N000,"184 EAST COAST ROAD, S(428890)",1,SUN RUI,Ever+,1.30676762440589,103.906559248475,428890
SSW19008P000,"18 SUNGEI KADUT STREET 2 SUNGEI KADUT INDUSTRIAL ESTATE, S(729236)",2,S POWER GLOBAL PTE. LTD.,S Power Supermart,1.41260803090908,103.747937640796,729236
SSW19009N000,"129 TUAS VIEW SQUARE, S(637741)",3,DHAKA SUPERMARKET,DHAKA SUPERMARKET,1.30117599336633,103.628177329762,637741
SSW19022V000,"50 JURONG GATEWAY ROAD JEM, S(608549)",4,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,DON DON DONKI,1.33320021829132,103.743170428258,608549
SW04097K000,"159 BUKIT BATOK STREET 11, #01-178, S(650159)",5,PRIME SUPERMARKET LIMITED,Prime supermarket,1.34857537953675,103.742708636413,650159
SW04158X000,"108 DEPOT ROAD, #01-01 DEPOT HEIGHTS SHOPPING CENTRE, S(100108)",6,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.28112226852104,103.810031310636,100108
SW05008N000,"638 JURONG WEST STREET 61, #03-01 PIONEER MALL, S(640638)",7,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT,1.34159108725751,103.697020081587,640638
SW05051J000,"720 CLEMENTI WEST STREET 2, #01-144, S(120720)",8,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.30246408847832,103.763750972451,120720
SW06002X000,"19 TOH GUAN ROAD EAST, #01-65, S(608568)",9,TOH GUAN MINI MART PTE. LTD.,TOH GUAN MINIMART,1.3383123486952,103.753550358867,608568
SW06322N000,"395A BUKIT BATOK WEST AVENUE 5, #03-10 MULTI STOREY CAR PARK, S(651395)",10,OH BENG GUAN,-,1.36448974299463,103.751987145985,651395
SW06590A000,"1 HARBOURFRONT WALK, #01-23 VIVOCITY, S(098585)",11,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE XTRA,1.26389581240004,103.821589247996,098585
SW06806E000,"17 LORONG KILAT, #01-02 KILAT COURT, S(598139)",12,LOTTE MART PTE. LTD.,LOTTE KOREAN MART,1.34082662400309,103.774213253323,598139
SW07070J000,"284 BUKIT BATOK EAST AVENUE 3, #01-251, S(650284)",13,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT,1.34669905221409,103.757276700998,650284
SW07209E000,"7 JURONG WEST AVENUE 5, S(649486)",14,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.34878489718303,103.703415655017,649486
SW07331C000,"352 CLEMENTI AVENUE 2, #01-91&99, S(120352)",15,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.31427265951788,103.771360860916,120352
SW07481A000,"28 DOVER CRESCENT, #01-83 MULTI STOREY CAR PARK, S(130028)",16,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.3047635676742,103.781697199348,130028
SW07E27X000,"30 PENJURU PLACE, #01-06/07, S(608557)",17,KINGSMART PTE. LTD.,kingsmart,1.31619770326353,103.732541771893,608557
SW08807K000,"154 WEST COAST ROAD #B1-19 WEST COAST PLAZA, S(127371)",18,COLD STORAGE SINGAPORE (1983) PTE LTD,coldstorage,1.30374258287197,103.766092882107,127371
SW08821N000,"140 TECK WHYE LANE, #01-351, S(680140)",19,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.38001805825626,103.753148377762,680140
SW08907C000,"555 UPPER JURONG ROAD, #01-02, S(638368)",20,GOWRI'S GLOBAL MARKETING PTE. LTD.,GOWRI'S GLOBAL MARKETING,1.32885582536892,103.677162106135,638368
SW08A55C000,"51 SOON LEE ROAD, #01-51A, S(628088)",21,CHD @ SOON LEE PTE. LTD.,CHD @ SOON LEE,1.33201329508941,103.699073446012,628088
SW08A59X000,"63 JURONG WEST CENTRAL 3 #03-01 JURONG POINT SHOPPING CENTRE, S(648331)",22,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.33931504032005,103.705350996191,648331
CE08H32N000,"80 LORONG LIMAU, #01-191, S(320080)",174,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.32379607125113,103.855670620709,320080
SW09032C000,"21 CHOA CHU KANG NORTH 6, #B1-01-07 YEW TEE POINT, S(689578)",23,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.39730190912669,103.746558067665,689578
SW09133X000,"503 JURONG WEST AVENUE 1, #01-847, S(640503)",24,LOCH GROCER PTE. LTD.,LOCH GROCER,1.34995541462242,103.71770480961,640503
SW09285K000,"61 CHOA CHU KANG DRIVE, #01-01 YEW TEE MRT STATION, S(689715)",25,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE FINEST,1.39729771118639,103.74735767326,689715
B02008E000,"845 YISHUN STREET 81, #01-184, S(760845)",26,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.4160188050375,103.835000766612,760845
B02011P000,"524A JELAPANG ROAD, #03-13/18 GREENRIDGE SHOPPING CENTRE, S(671524)",27,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT,1.38541768689995,103.766235457752,671524
B02012N000,"768 WOODLANDS AVENUE 6, #01-34 WOODLANDS MART, S(730768)",28,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.44562289926402,103.798140996611,730768
B02015J000,"122 ANG MO KIO AVENUE 3, #01-1753, S(560122)",29,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.37018860668947,103.843413231524,560122
SW09288C000,"14 TECH PARK CRESCENT, #01-02, S(638118)",30,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,SADIA SUPERMARKET & TRADING ,1.3106942813709,103.630190012756,638118
B02017C000,"301 WOODLANDS STREET 31, #01-217, S(730301)",31,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.4315052703273,103.773515659097,730301
SW09426V000,"2D JALAN PAPAN, #01-04, S(619415)",32,PHANG NEE ENTERPRISE PTE. LTD.,phang nee,1.32128074994759,103.729832580442,619415
B02020N000,"1 JELEBU ROAD, #01-15 BUKIT PANJANG PLAZA, S(677743)",33,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.37991650665222,103.764317068535,677743
SW09752V000,"5 TECH PARK CRESCENT, #01-02, S(638127)",34,LAMIAH ENTERPRISE PTE. LTD.,-,1.31146788847722,103.630340020449,638127
B02021L000,"30 SEMBAWANG DRIVE, #B1-01-03 SUN PLAZA, S(757713)",35,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.44822653818275,103.819462102812,757713
SW10780J000,"32 TUAS VIEW SQUARE, #01-02, S(637778)",36,SHARBESUWARY PTE. LTD.,SHARBESUWARY EXPRESS MART,1.29865806391236,103.62808808355,637778
B02022K000,"71 WOODLANDS AVENUE 3, #01-01 MARSILING MRT STATION, S(739044)",37,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.43262603485889,103.774051197031,739044
SW10A16E000,"3155 COMMONWEALTH AVENUE WEST #B1-12/13/14 THE CLEMENTI MALL, S(129588)",38,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE FINEST,1.31555354277949,103.764596439304,129588
B02024E000,"888 WOODLANDS DRIVE 50, #01-757 888 PLAZA, S(730888)",39,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.43713052444868,103.795289911954,730888
SW11146X000,"15 JALAN TEPONG, #03-02 (PART OF - LEFT SUB-UNIT), JURONG FOOD HUB, S(619336)",40,YS LOGISTICS (S) PTE. LTD.,YS LOGISTICS (S) ,1.30859345523909,103.722316829054,619336
